White,Black,Place,Year,Opening,No_of_moves,Winner,First_move,Game-file
Tartakower,Burn,Carlsbad,1911,King's Gambit,30,Black,1-e4,Game-1.txt
Leonhardt,Marshall,San Sebastian,1911,Falkbeer Counter Gambit,36,Black,1-e4,Game-2.txt
Spielmann,Prokes,Prag,1908,Vienna Game,21,White,1-e4,Game-3.txt
Tarrasch,Capablanca,San Sebastian,1911,Giuoco Piano,38,Drawn,1-e4,Game-4.txt
Griffith,Gunston,London,1902,Giuoco Piano,37,Black,1-e4,Game-5.txt
Mason,Gunsberg,New York,1889,Giuoco Piano,29,Black,1-e4,Game-6.txt
Marshall,Tarrasch,Hamburg,1910,Max Lange Attack,29,White,1-e4,Game-7.txt
Blackburne,Em. Lasker,Petrograd,1914,Scotch Game,67,Black,1-e4,Game-8.txt
Salwe,Marshall,Vienna,1908,Two Knight's Defence,37,Black,1-e4,Game-9.txt
Teichmann,Amateurs,Glasgow,1902,Two Knigth's Defence,35,White,1-e4,Game-10.txt
Schlechter,Janowski,Paris,1900,Ruy Lopez,45,White,1-e4,Game-11.txt
Teichmann,Rubinstein,Carlsbad,1911,Ruy Lopez,36,White,1-e4,Game-12.txt
Teichmann,Schlechter,Carlsbad,1911,Ruy Lopez,25,White,1-e4,Game-13.txt
Spielmann,Tarrasch,San Sebastian,1912,Ruy Lopez,41,Black,1-e4,Game-14.txt
Aljechin,Niemzowitsch,Petrograd,1914,Ruy Lopez,46,White,1-e4,Game-15.txt
Yates,Gunsberg,Chester,1914,Ruy Lopez,25,White,1-e4,Game-16.txt
Berlin,Riga,NA,1908,Ruy Lopez,54,Black,1-e4,Game-17.txt
Em. Lasker,Capablanca,Petrograd,1914,Ruy Lopez,42,White,1-e4,Game-18.txt
Ed. Lasker,Janowski,Scheveningen,1913,Four Knight's Game,43,White,1-e4,Game-19.txt
Ed. Lasker,Englund,Scheveningen,1913,Four Knight's Game,21,White,1-e4,Game-20.txt
Ed. Lasker,Aljechin,Scheveningen,1913,Three Knights' Defence,31,Black,1-e4,Game-21.txt
Forgacz,Tartakower,Petrograd,1909,French Defence,28,White,1-e4,Game-22.txt
Yates,Esser,Anglo-Dutch Match,1914,French Defence,38,Black,1-e4,Game-23.txt
Atkins,Barry,Cable Match,1910,French Defence,30,White,1-e4,Game-24.txt
Em. Lasker,Tarrasch,Munich,1908,French Defence,28,White,1-e4,Game-25.txt
Capablanca,Blanco,Havanna,1913,French Defence,33,White,1-e4,Game-26.txt
Niemzowitsch,Tarrasch,San Sebastian,1912,French Defence,41,White,1-e4,Game-27.txt
Alapin,Rubinstein,Wilna,1912,Sicilian Defence,28,White,1-e4,Game-28.txt
Teichmann,Spielmann,Leipzig,1914,Sicilian Defence,19,White,1-e4,Game-29.txt
Tarrasch,Spielmann,Mannheim,1914,Sicilian Defence,30,Black,1-e4,Game-30.txt
John,Janowski,Mannheim,1914,Sicilian Defence,24,White,1-e4,Game-31.txt
Ed. Lasker,Mieses,Scheveningen,1913,Centre Counter Defence,18,White,1-e4,Game-32.txt
Barasz,Mieses,Breslau,1912,Centre Counter Defencec,28,Black,1-e4,Game-33.txt
Em. Lasker,Niemzowitsch,Petrograd,1914,Caro-Kann Defence,41,Drawn,1-e4,Game-34.txt
Reti,Tartakower,Vienna,1910,Caro-Kann Defence,24,White,1-e4,Game-35.txt
Marshall,Capablanca,New York,1909,Queen's Gambit Declined,42,Black,1-d4,Game-37.txt
Rotlewi,Teichmann,Carlsbad,1911,Queen's Gambit Declined,69,Black,1-d4,Game-38.txt
Rotlewi,Rubinstein,Lodz,1907,Queen's Gambit Declined,25,Black,1-d4,Game-39.txt
Rubinstein,Capablanca,San Sebastian,1911,Queen's Gambit Declined,24,White,1-d4,Game-40.txt
Niemzowitsch,Tarrasch,Petrograd,1914,Queen's Gambit Declined,31,Black,1-d4,Game-41.txt
Capablanca,Aljechin,Petrograd,1913,Queen's Gambit Declined,29,White,1-d4,Game-42.txt
Capablanca,Bernstein,Petrograd,1914,Queen's Gambit Declined,46,White,1-d4,Game-43.txt
Dus Chotimirski,Vidmar,Carlsbad,1911,Queen's Pawn Game,24,Black,1-d4,Game-44.txt
Rubinstein,Spielmann,Pistyan,1912,Irregular Opening,32,Black,1-d4,Game-45.txt
Thomas,Ed. Lasker,London,1912,Irregular Opening,33,White,1-d4,Game-46.txt
Tartakower,Asztalos,Budapest,1913,Dutch Opening,42,White,1-f3,Game-47.txt
Blackburne,Niemzowitsch,Petrograd,1914,Irregular Opening,42,White,1-e3,Game-48.txt
